brand,product,review,rating,sentiment
boAt,Airdopes 131,The connectivity is just okay for daily use.,3,Neutral
JBL,Live Pro 2,The fit is average though nothing special.,3,Neutral
Realme,Buds Air 3,The design looks amazing and easy to pair.,5,Positive
Realme,Buds Air 3,Overall performance is poor with weak bass output.,1,Negative
OnePlus,Nord Buds 2,The sound quality is acceptable but not outstanding.,3,Neutral
OnePlus,Buds Z2,The earbuds feel acceptable overall.,3,Neutral
OnePlus,Nord Buds 2,Connectivity is bad for long use and not reliable overall.,2,Negative
Realme,Buds T300,The earbuds are poor and connection drops often.,2,Negative
JBL,Tune 230NC,Battery life is satisfactory in this price segment.,3,Neutral
boAt,Airdopes 141,Battery backup is really satisfying for music and gaming.,4,Positive
Noise,Buds VS102,Noise cancellation is very good during calls.,5,Positive
Realme,Buds Air 3,Mic quality is just okay overall.,3,Neutral
Noise,Buds VS102,The sound quality is really satisfying for this price range.,4,Positive
boAt,Airdopes Alpha,Touch response is neither too good nor too bad in this price segment.,3,Neutral
OnePlus,Nord Buds 2,Touch controls are surprisingly great and easy to pair.,5,Positive
OnePlus,Buds Z2,Connectivity is poor and battery drains fast.,2,Negative
boAt,Airdopes Alpha,Overall performance is neither too good nor too bad for regular usage.,3,Neutral
OnePlus,Buds Z2,The connectivity is moderate but not outstanding.,3,Neutral
boAt,Airdopes Alpha,Battery backup is worth the price and very comfortable to wear.,4,Positive
JBL,Tune 230NC,Battery backup is below expectations especially during calls.,1,Negative
Realme,Buds Air 3,Touch response is just okay for regular usage.,3,Neutral
Noise,Buds VS104,The build quality feels not good at all especially during calls.,1,Negative
Noise,Buds VS104,Connectivity is not good at all especially during calls.,1,Negative
Noise,Noise Air Buds,Touch controls are terrible and not reliable overall.,1,Negative
Realme,Buds Wireless 2,Overall performance is terrible for the price paid.,2,Negative
JBL,Tune 230NC,Mic quality is unreliable and connection drops often.,1,Negative
JBL,Tune 230NC,Battery life is fine for daily use for daily use.,3,Neutral
Realme,Buds Air 3,The design looks smooth and reliable during calls.,4,Positive
OnePlus,Buds Z2,The connectivity is moderate overall.,3,Neutral
boAt,Airdopes 131,Connectivity is better than expected with a premium feel.,4,Positive
OnePlus,Buds Z2,Connectivity is fantastic during calls.,5,Positive
OnePlus,Buds Z2,Connectivity is excellent during calls.,5,Positive
boAt,Airdopes 131,The earbuds are bad for long use and not reliable overall.,2,Negative
boAt,Airdopes 141,Battery backup is amazing during calls.,4,Positive
boAt,Airdopes 141,Connectivity is not good at all with weak bass output.,1,Negative
OnePlus,Nord Buds,Battery backup is very good and very comfortable to wear.,4,Positive
boAt,Airdopes 141,Battery backup is below expectations and battery drains fast.,1,Negative
boAt,Airdopes 141,Mic quality is poor and stopped working quickly.,2,Negative
boAt,Airdopes 131,The sound quality is decent but not outstanding.,3,Neutral
OnePlus,Buds Z2,The earbuds are terrible for the price paid.,2,Negative
boAt,Airdopes Alpha,Battery backup is really satisfying for this price range.,4,Positive
boAt,Airdopes Alpha,The fit is average but could be better.,3,Neutral
Noise,Buds VS102,Overall performance is neither too good nor too bad for daily use.,3,Neutral
JBL,Wave Buds,Connectivity is fantastic and easy to pair.,4,Positive
OnePlus,Buds Z2,Touch controls are terrible and not reliable overall.,1,Negative
OnePlus,Nord Buds 2,The design is decent for casual listening.,3,Neutral
Realme,Buds Air 3,Mic performance is impressive and very comfortable to wear.,4,Positive
JBL,Live Pro 2,Overall performance is very disappointing with weak bass output.,1,Negative
OnePlus,Buds Z2,The connectivity is okay in this price segment.,3,Neutral
Realme,Buds Wireless 2,Overall performance is not bad though nothing special.,3,Neutral
boAt,Airdopes 131,The sound quality is amazing and the bass is strong.,5,Positive
Realme,Buds Air 3,Noise cancellation is surprisingly great for music and gaming.,5,Positive
Realme,Buds T300,The connectivity is just okay but could be better.,3,Neutral
Realme,Buds Wireless 2,The earbuds are terrible and feels uncomfortable after some time.,1,Negative
JBL,Wave Buds,Touch controls are unreliable and feels uncomfortable after some time.,1,Negative
Noise,Buds VS104,The sound quality is terrible and battery drains fast.,1,Negative
Noise,Buds VS102,The design looks fantastic for this price range.,5,Positive
OnePlus,Nord Buds,Comfort level is smooth and reliable for music and gaming.,4,Positive
Realme,Buds T300,Battery backup is better than expected and very comfortable to wear.,4,Positive
JBL,Live Pro 2,Noise cancellation is worth the price and the bass is strong.,4,Positive
Realme,Buds T300,Connectivity is amazing and very comfortable to wear.,5,Positive
Noise,Buds VS104,Battery backup is not good at all and feels uncomfortable after some time.,2,Negative
JBL,Wave Buds,The sound quality is worth the price during calls.,5,Positive
OnePlus,Nord Buds,Touch response is moderate overall.,3,Neutral
boAt,Airdopes Alpha,The sound quality is better than expected for this price range.,5,Positive
Realme,Buds Wireless 2,The sound quality is below expectations and feels uncomfortable after some time.,1,Negative
Realme,Buds Wireless 2,The earbuds feel just okay in this price segment.,3,Neutral
JBL,Wave Buds,The build quality feels unreliable especially during calls.,2,Negative
JBL,Tune 230NC,The design is acceptable for daily use.,3,Neutral
OnePlus,Nord Buds,The design looks excellent even after long usage.,4,Positive
boAt,Airdopes Alpha,The sound quality is just okay for casual listening.,3,Neutral
Realme,Buds T300,Touch response is satisfactory though nothing special.,3,Neutral
JBL,Wave Buds,Overall performance is not bad for casual listening.,3,Neutral
Noise,Buds VS102,Connectivity is unreliable and battery drains fast.,1,Negative
boAt,Airdopes Alpha,Mic quality is below expectations for the price paid.,1,Negative
Realme,Buds Wireless 2,The fit is not good at all and battery drains fast.,2,Negative
Realme,Buds T300,Battery life is just okay but not outstanding.,3,Neutral
Noise,Noise Air Buds,The sound quality is fine for daily use in this price segment.,3,Neutral
boAt,Airdopes 141,Touch response is just okay but not outstanding.,3,Neutral
boAt,Airdopes Alpha,The connectivity is not bad but not outstanding.,3,Neutral
Noise,Buds VS104,The sound quality is neither too good nor too bad for daily use.,3,Neutral
boAt,Airdopes Alpha,Noise cancellation is better than expected with a premium feel.,4,Positive
JBL,Wave Buds,The design is moderate for regular usage.,3,Neutral
boAt,Airdopes Alpha,The fit is okay in this price segment.,3,Neutral
JBL,Live Pro 2,The fit is neither too good nor too bad for casual listening.,3,Neutral
Realme,Buds Air 3,Comfort level is fantastic for this price range.,4,Positive
Realme,Buds T300,The earbuds feel moderate though nothing special.,3,Neutral
JBL,Tune 230NC,The build quality feels poor and connection drops often.,2,Negative
OnePlus,Nord Buds,Battery backup is unreliable and feels uncomfortable after some time.,2,Negative
OnePlus,Buds Z2,Touch controls are very good for this price range.,5,Positive
OnePlus,Buds Z2,Touch controls are frustrating with weak bass output.,2,Negative
JBL,Tune 230NC,Noise cancellation is worth the price during calls.,4,Positive
Noise,Buds VS104,Battery backup is excellent for music and gaming.,4,Positive
OnePlus,Nord Buds 2,Comfort level is very good and the bass is strong.,4,Positive
OnePlus,Buds Z2,Mic quality is poor for the price paid.,2,Negative
JBL,Tune 230NC,Battery backup is impressive for music and gaming.,4,Positive
JBL,Tune 230NC,Mic quality is very disappointing and battery drains fast.,2,Negative
boAt,Airdopes 141,The design looks fantastic and easy to pair.,5,Positive
Realme,Buds Wireless 2,Battery backup is very good and very comfortable to wear.,4,Positive
OnePlus,Nord Buds 2,Battery life is not bad but could be better.,3,Neutral
Noise,Noise Air Buds,Noise cancellation is impressive and very comfortable to wear.,4,Positive
Realme,Buds Air 3,Comfort level is impressive during calls.,5,Positive
Noise,Buds VS104,Mic quality is poor and stopped working quickly.,1,Negative
JBL,Tune 230NC,The design is moderate for daily use.,3,Neutral
Realme,Buds Air 3,The earbuds are not good at all for the price paid.,1,Negative
Realme,Buds Wireless 2,Overall performance is neither too good nor too bad for daily use.,3,Neutral
OnePlus,Nord Buds,The fit is satisfactory but could be better.,3,Neutral
JBL,Wave Buds,The earbuds are better than expected and very comfortable to wear.,5,Positive
boAt,Airdopes Alpha,Battery life is decent in this price segment.,3,Neutral
Realme,Buds Air 3,The sound quality is unreliable especially during calls.,2,Negative
boAt,Airdopes 131,The fit is satisfactory for casual listening.,3,Neutral
JBL,Wave Buds,Battery backup is really satisfying even after long usage.,5,Positive
boAt,Airdopes 141,Connectivity is excellent and the bass is strong.,4,Positive
Noise,Noise Air Buds,Overall performance is frustrating with weak bass output.,1,Negative
OnePlus,Nord Buds,Connectivity is very good during calls.,4,Positive
